Time Force Active_Force Passive_Force  Lambda Derivative Mode Calcium Troponin CrossBridges Q1 Q2 Force
338 1.19812 1.19812 0 1 7.44596e-07 0 0.175066 0.0504741 0.00998811 -0.000264755 7.91002e-11 1.19815 
339 1.17231 1.17231 0 1 7.44596e-07 0 0.174129 0.0499755 0.00977245 -0.000227874 4.79707e-11 1.17233 
340 1.1468 1.1468 0 1 7.44596e-07 0 0.173196 0.0494807 0.00955944 -0.000196131 2.90921e-11 1.14683 
341 1.12162 1.12162 0 1 7.44596e-07 0 0.172269 0.0489896 0.00934921 -0.000168809 1.7643e-11 1.12165 
342 1.09679 1.09679 0 1 7.44596e-07 0 0.171347 0.0485024 0.00914189 -0.000145294 1.06997e-11 1.09681 
343 1.0723 1.0723 0 1 7.44596e-07 0 0.17043 0.0480191 0.00893758 -0.000125054 6.48888e-12 1.07233 
344 1.04819 1.04819 0 1 7.44596e-07 0 0.169517 0.0475397 0.00873637 -0.000107634 3.93521e-12 1.04821 
345 1.02445 1.02445 0 1 7.44596e-07 0 0.16861 0.0470643 0.00853833 -9.26404e-05 2.38653e-12 1.02447 
346 1.00109 1.00109 0 1 7.44596e-07 0 0.167707 0.0465929 0.00834354 -7.97354e-05 1.44732e-12 1.00112 
347 0.978131 0.978131 0 1 7.44596e-07 0 0.16681 0.0461255 0.00815203 -6.86281e-05 8.77736e-13 0.978153 
348 0.955564 0.955564 0 1 7.44596e-07 0 0.165917 0.0456622 0.00796386 -5.90681e-05 5.32307e-13 0.955587 
349 0.933399 0.933399 0 1 7.44596e-07 0 0.165029 0.0452029 0.00777904 -5.08398e-05 3.2282e-13 0.933421 
350 0.911638 0.911638 0 1 7.44596e-07 0 0.164146 0.0447477 0.00759761 -4.37578e-05 1.95776e-13 0.911659 
351 0.890282 0.890282 0 1 7.44596e-07 0 0.163267 0.0442965 0.00741957 -3.76622e-05 1.18729e-13 0.890303 
352 0.869333 0.869333 0 1 7.44596e-07 0 0.162394 0.0438495 0.00724493 -3.24158e-05 7.20039e-14 0.869353 
353 0.848789 0.848789 0 1 7.44596e-07 0 0.161525 0.0434064 0.00707368 -2.79002e-05 4.36671e-14 0.84881 
354 0.828652 0.828652 0 1 7.44596e-07 0 0.160661 0.0429675 0.00690582 -2.40137e-05 2.64821e-14 0.828672 
355 0.808918 0.808918 0 1 7.44596e-07 0 0.159802 0.0425326 0.00674133 -2.06685e-05 1.60602e-14 0.808937 
356 0.789586 0.789586 0 1 7.44596e-07 0 0.158947 0.0421018 0.0065802 -1.77894e-05 9.73979e-15 0.789605 
357 0.770653 0.770653 0 1 7.44596e-07 0 0.158097 0.0416749 0.0064224 -1.53113e-05 5.90675e-15 0.770672 
358 0.752116 0.752116 0 1 7.44596e-07 0 0.157252 0.0412521 0.0062679 -1.31784e-05 3.58217e-15 0.752134 
359 0.733971 0.733971 0 1 7.44596e-07 0 0.156412 0.0408333 0.00611667 -1.13426e-05 2.17243e-15 0.733989 
360 0.716215 0.716215 0 1 7.44596e-07 0 0.155576 0.0404185 0.00596868 -9.76258e-06 1.31748e-15 0.716232 
361 0.698842 0.698842 0 1 7.44596e-07 0 0.154744 0.0400076 0.00582389 -8.40263e-06 7.98991e-16 0.698859 
362 0.681848 0.681848 0 1 7.44596e-07 0 0.153918 0.0396006 0.00568227 -7.23213e-06 4.84552e-16 0.681865 
363 0.665229 0.665229 0 1 7.44596e-07 0 0.153096 0.0391976 0.00554376 -6.22468e-06 2.93859e-16 0.665245 
364 0.648978 0.648978 0 1 7.44596e-07 0 0.152278 0.0387985 0.00540833 -5.35757e-06 1.78212e-16 0.648994 
365 0.633091 0.633091 0 1 7.44596e-07 0 0.151465 0.0384032 0.00527592 -4.61126e-06 1.08078e-16 0.633107 
366 0.617562 0.617562 0 1 7.44596e-07 0 0.150656 0.0380117 0.00514651 -3.9689e-06 6.55442e-17 0.617577 
367 0.602385 0.602385 0 1 7.44596e-07 0 0.149852 0.0376241 0.00502003 -3.41603e-06 3.97496e-17 0.6024 
368 0.587555 0.587555 0 1 7.44596e-07 0 0.149053 0.0372403 0.00489643 -2.94017e-06 2.41063e-17 0.58757 
369 0.573065 0.573065 0 1 7.44596e-07 0 0.148258 0.0368602 0.00477568 -2.5306e-06 1.46194e-17 0.57308 
370 0.558911 0.558911 0 1 7.44596e-07 0 0.147467 0.0364839 0.00465772 -2.17808e-06 8.86601e-18 0.558925 
371 0.545084 0.545084 0 1 7.44596e-07 0 0.146681 0.0361113 0.00454249 -1.87467e-06 5.37683e-18 0.545098 
372 0.531581 0.531581 0 1 7.44596e-07 0 0.145899 0.0357424 0.00442996 -1.61353e-06 3.26081e-18 0.531594 
373 0.518394 0.518394 0 1 7.44596e-07 0 0.145122 0.0353771 0.00432006 -1.38876e-06 1.97753e-18 0.518407 
374 0.505517 0.505517 0 1 7.44596e-07 0 0.144349 0.0350155 0.00421276 -1.1953e-06 1.19928e-18 0.50553 
375 0.492945 0.492945 0 1 7.44596e-07 0 0.14358 0.0346574 0.00410799 -1.02879e-06 7.27311e-19 0.492958 
376 0.480672 0.480672 0 1 7.44596e-07 0 0.142815 0.0343029 0.0040057 -8.85482e-07 4.41082e-19 0.480684 
377 0.46869 0.46869 0 1 7.44596e-07 0 0.142055 0.033952 0.00390586 -7.62132e-07 2.67496e-19 0.468702 
378 0.456996 0.456996 0 1 7.44596e-07 0 0.141299 0.0336046 0.0038084 -6.55966e-07 1.62224e-19 0.457007 
379 0.445581 0.445581 0 1 7.44596e-07 0 0.140548 0.0332606 0.00371327 -5.64589e-07 9.83817e-20 0.445593 
380 0.434442 0.434442 0 1 7.44596e-07 0 0.1398 0.0329201 0.00362044 -4.85941e-07 5.9664e-20 0.434453 
381 0.423571 0.423571 0 1 7.44596e-07 0 0.139057 0.032583 0.00352985 -4.18248e-07 3.61835e-20 0.423582 
382 0.412963 0.412963 0 1 7.44596e-07 0 0.138318 0.0322494 0.00344145 -3.59986e-07 2.19437e-20 0.412974 
383 0.402613 0.402613 0 1 7.44596e-07 0 0.137583 0.0319191 0.00335519 -3.09839e-07 1.33079e-20 0.402623 
384 0.392514 0.392514 0 1 7.44596e-07 0 0.136853 0.0315921 0.00327104 -2.66678e-07 8.07061e-21 0.392524 
385 0.382662 0.382662 0 1 7.44596e-07 0 0.136126 0.0312684 0.00318893 -2.29529e-07 4.89446e-21 0.382672 
386 0.37305 0.37305 0 1 7.44596e-07 0 0.135404 0.030948 0.00310883 -1.97555e-07 2.96827e-21 0.37306 
387 0.363674 0.363674 0 1 7.44596e-07 0 0.134685 0.0306309 0.0030307 -1.70036e-07 1.80012e-21 0.363683 
